"@CamiloMendoza85","2018-05-20 23:31:48","@German_Vargas Trató de plaga a los que van a votar por Petro, muy mal candidato, si usted llega a ser presidente esa plaga van a ser sus gobernados, es decir: colombianos."
"@wilferhuertas87","2018-05-20 23:31:50","@German_Vargas "y vamos a salir de esa plaga" entonces los estudiantes campesinos obreros y toda la sociedad que se levanta contra la corrupción somos una plaga, señor candidato necesitamos respeto claro nos queda claro que una plaga de ratas en el poder nos devora. https://t.co/pXxnffh64c"
"@CHOJUANHERRERA","2018-05-20 23:31:51","Hoy en un día tan difícil para la democracia en Venezuela, debemos recordar que @German_Vargas lleva más de 10 años oponiéndose a esa dictadura.  El silencio cómplice de Petro no lo podemos permitir en Colombia.  #ElPresidenteQueNecesitamos #VargasLlerasPresidente  👇🏻 https://t.co/wN4lvEB7vF"
"@mdceron","2018-05-20 23:31:54","Nos deja ver hoy Bogotá la verdadera dimensión del apoyo con que cuenta @German_Vargas en la capital del país y le deja ver también a Colombia quien será el próximo Presidente. #HacerCumplirAvanzar #MejorVargasLleras https://t.co/mLKv4PAfdY"
"@Marielamonto","2018-05-20 23:33:07","Nos deja ver hoy Bogotá la verdadera dimensión del apoyo con que cuenta @German_Vargas en la capital del país y le deja ver también a Colombia quien será el próximo Presidente. #HacerCumplirAvanzar #MejorVargasLleras https://t.co/mLKv4PAfdY"
"@LinaCFranco1","2018-05-20 23:33:08","@RevistaSemana @IvanDuque Como si subir los salarios y disminuir los impuestos fuera solo cuestión de voluntad del presidente de turno! Dónde está el estudio financiero que avala estas “promesas de campaña”, sin que la economía del país se vaya al traste? @sergio_fajardo @German_Vargas"
"@RanCarcris","2018-05-20 23:33:09","Y la #PlazaDeBolivar se llenó con más de 70 mil para apoyar campaña presidencial de @German_Vargas @MejorVargasLle @JULIOC_ACOSTA @RolandoGonGa https://t.co/YQ5aJ1SdBt"
"@CbiaHumanaZipa","2018-05-20 23:33:09","Así es la maquinaria que @German_Vargas está moviendo en #Cundinamarca, con ayuda de @JorgeEmilioRey para tratar de ganar en un departamento que se ha caracterizado por ser uribista.  https://t.co/7DuyqHNqaq"
"@YonisAlberto4","2018-05-20 23:33:20","La fotografía electoral parece seguir intacta. Llegaremos a una confrontación Duque-Petro, a menos que @German_Vargas se meta por la mitad con una propuesta de centro. La tendencia de @IvanDuque va a la baja y la de @petrogustavo al alza. La temperatura electoral sube"
"@InesLuciaUhia","2018-05-20 23:33:27","‘Es tan mala la demagogia de Petro como la inexperiencia de Duque’ https://t.co/ntbYweK5gw @German_Vargas el único que por su experiencia positiva, está preparado para gobernar al país! @MejorVargasLle @Susanadleon @jessilau7 @NotiSincelejo @PinzonBueno @AngelaMaria29"
"@maximrudin","2018-05-20 23:33:27","Retweeted Colombia Humana (@ColombiaHumana_):  Esposa del contralor de Bogotá le hace campaña a @German_Vargas Lleras siendo funcionaria pública  #NoAlFraudeElectoral ¡Vamos salir de esa plaga! https://t.co/W2yG3uKI87"
"@_AndresMerchan","2018-05-20 23:33:30","@petrogustavo pide transparencia y juego limpio a la @Registraduria y @German_Vargas, el candidato del Presidente Santos, prácticamente lo manda a la porra. ¿Quién se parece más a Maduro? #NoAlFraudeElectoral"
"@mdceron","2018-05-20 23:33:32","“Los invito a que este próximo domingo acabemos con ese riesgo del populismo que amenaza a Colombia, acompáñenme a pasar a segunda vuelta para ganar la presidencia”. @German_Vargas #VargasLlerasPresidente #YoVotoVargasLleras https://t.co/1alhHnTW3S"
"@josefezuluaga","2018-05-20 23:33:34","@GustavoBolivar Miren lo que tuvo que hacer @German_Vargas para llenar la Plaza de Bolívar hoy en Bogotá.  Realmente fueron más de 200 buses. https://t.co/4U16qCb3tP"
"@uribepaola","2018-05-20 23:33:34","@charry_manager @RevocaAPenalosa @German_Vargas Aunque todos los seres humanos merecen respeto y compasión, una análogo de "plaga" funciona para aquellos que venden su voto por dinero o tamales. Son nefastos, son muchos y nos afectan a todos, incluso a ellos mismos. Plaga autofágica."
"@durquijo","2018-05-20 23:33:38","La estrategia de @German_Vargas para acabar con la corrupción es buscar el apoyo de @RoyBarreras @AABenedetti y @ernestosamperp https://t.co/zHtoUqddNj"
"@DiegoLFC1892","2018-05-20 23:33:40","Así es la maquinaria que @German_Vargas está moviendo en #Cundinamarca, con ayuda de @JorgeEmilioRey para tratar de ganar en un departamento que se ha caracterizado por ser uribista.  https://t.co/7DuyqHNqaq"
"@julioochoa59","2018-05-20 23:33:41","@RevistaSemana @German_Vargas sigan dandose garrote delincuentes corruptos asesinos de nuestra democracia.. Ustedes corruptos saben quien va a ser su presidente sin necesidad de darle marihuana a los jovenes y sin necesidad de empujar las personas que asisten a sus actos violentos.DUQUE PRESIDENTE EL MEJOR"
"@lugicas","2018-05-20 23:33:41","La estrategia de @German_Vargas para mantenerse en el poder es: derrotar a Petro en la primera vuelta... cómo; no sé. Y luego en la segunda a Iván Duque... cómo; no sé. Uds saben que Santos hace "milagros"."
"@HernnDeJesus3","2018-05-20 23:33:42","Candidato @German_Vargas cuando usted afirma "Duelale a quien le duela y cueste lo que cueste", me lleva a pensar que el señor que hace esta confesión probada, sera uno de sus flamantes Ministros o acaso le prometió crear una la JEP Política para absolverlo? https://t.co/M5NyDIP4kF"
"@Saint_Morena","2018-05-20 23:33:42","@natesguerra @MejorVargasLle @German_Vargas #NoAlFraudeElectoral #Corrupcion #Colombia #DelitoElectoral #EleccionesColombia  ¿#MejorVargasLleras?https://t.co/QIKlB2pkXk"
"@fredy_co","2018-05-20 23:33:44","Esposa del contralor de Bogotá le hace campaña a @German_Vargas Lleras siendo funcionaria pública  #NoAlFraudeElectoral ¡Vamos salir de esa plaga! https://t.co/qNwWna8OKl"
"@RukissReyna","2018-05-20 23:33:45","@MARIOVTNF @German_Vargas @PCambioRadical @petrogustavo @AlirioUribeMuoz @angelamrobledo @HOLLMANMORRIS @charry_manager @nicolaspetroB @IvanCepedaCast @ClaudiaLopez @JERobledo @intiasprilla Ahora entiendo las pancartas aclarando de parte de quien vienen.. Increíble. @petrogustavo https://t.co/MxnCjfaxz0"
"@InesLuciaUhia","2018-05-20 23:33:45","Fue @German_Vargas el único candidato que respondió al cuestionario de el @nuevodiaibague sobre lo que haría por el Tolima una vez sea Presidente, estas son sus propuestas y proyectos para este departamento y la región https://t.co/QOVJlGvdz8 https://t.co/m3kCMzLeS5"
"@lugicas","2018-05-20 23:33:45","@The__Bosch @juanjo311 @German_Vargas ¡En 1a! ¡En 1a! ¡En 1a! Iván Duque es la esperanza de Colombia. Petro con el cuento del fraude, indica su derrota. Así @JuanManSantos y su horda de corruptos apelen a lo más ruin para evitar su triunfo, no lo lograrán. Sindéresis. Confianza en Dios. @IvanDuque."
"@Grupocolombiam2","2018-05-20 23:33:45","@SolerJeimi @petrogustavo @JuanManSantos @IvanDuque @German_Vargas @NoticiasRCN @elespectador @mluciaramirez @NoticiasCaracol @RevistaSemana @Registraduria Señora el gobierno ya dio su declaración. Y usted que afirma ser esclava tiene la libertad de marcharse de este país, será bien recibida en cuba, Bolivia, Venezuela o Rusia no creo que alguien la detenga."
"@guemarx","2018-05-20 23:33:47","Esposa del contralor de Bogotá le hace campaña a @German_Vargas Lleras siendo funcionaria pública  #NoAlFraudeElectoral ¡Vamos salir de esa plaga! https://t.co/qNwWna8OKl"
"@mdpgomez","2018-05-20 23:33:48","@LUCIALMAGUER @adrescala @araujoaristizab @YasserAminII1 @BlackSaurer @Santosterroris @petrogustavo @German_Vargas @PCambioRadical @IvanDuque @DeLaCalleHum Lo más seguro es que en menos de 4 años vuelva 💩💩 el país y ya para eso estaré fuera de Colombia,porque no soy masoquista. Con seguridad en las próximas elecciones a votar en contra de él aunque ya tenga los poderes en sus manos,y lucharán los estudiantes como en Vzla."
"@diegomez_18","2018-05-20 23:33:51","@resveracalvo @Realidades77 @alfacolombia @JESUSelias0805 @mmargarita1958 @CaracolRadio @cifrasyconcepto @IvanDuque @German_Vargas @petrogustavo @sergio_fajardo @DeLaCalleHum Tamales y lechón a que el señor duque y su campaña es experto ene repartir"
"@rossy0414","2018-05-20 23:33:52","A qué “plaga” se refiere @German_Vargas.   Un candidato que se refiere así de los colombianos no merece ser Presidente.  https://t.co/S8YiZcdy89"
"@hgomezpadilla","2018-05-20 23:33:53","Estamos listos esperando a @German_Vargas  En minutos empieza el cierre de esta campaña que va directo a segunda vuelta.  #YoVotoVargasLleras  #ElPresidenteQueNecesitamos #VargasLlerasPresidente  👇🏻 👇🏻 👇🏻 https://t.co/hFtKK6Ky18"
"@LUISJOSERIBERO","2018-05-20 23:33:56","“La vamos a dar una pela en democracia” Las fuertes palabras de @@German_Vargas contra @petrogustavo.  ---&gt; https://t.co/TAd8ud8xZb https://t.co/PQjPQbODgJ"
"@MariaSalvatu","2018-05-20 23:33:58","@German_Vargas @JuanAbelG Es que con el registrador de su partido tenemos un software igual o incluso peor al de Maduro porque pretende ser democrático. Que coloquen su rostro en todas las casillas o el de Duque y así somos más sinceros."
"@lugicas","2018-05-20 23:33:59","Buen día, esto es lo que piensa el senador @AABenedetti de @German_Vargas  y anoche él fue el que llevó varios asistentes al cierre de campaña en Quilla, la política es dinámica  @NANACHAGU  @IvanDuque  @AlvaroUribeVel https://t.co/YqyLK7YEdP"
"@rafadirector","2018-05-20 23:34:00","Pues parece que @petrogustavo no era el único que podía llenar la Plaza Bolivar. Foto de hoy en concentración de @German_Vargas. https://t.co/Jwjw2iKQk7"
"@cobra8350","2018-05-20 23:34:00","@German_Vargas @PAOLACELISE Este sugeto nos trata de plagas pues mas plaga es el q en su partido politico hay algunos personajes este sugeto debe respetar al pueblo petro sera nuestro presidente por ensima del fraude q quieren hacer"
"@musikaliche","2018-05-20 23:34:06","La estrategia de @German_Vargas para mantenerse en el poder es: derrotar a Petro en la primera vuelta... cómo; no sé. Y luego en la segunda a Iván Duque... cómo; no sé. Uds saben que Santos hace "milagros"."
"@cesar_garcia_nt","2018-05-20 23:34:08","Grave la denuncia de @petrogustavo sobre fraude.  A @IvanDuque lo subieron del 8% al 42% en una semana. @German_Vargas tiene la registraduria a su servicio, y no permitieron la verificación del software.  El fraude es inminente.   @OEA_oficial @UnionEuropeaRD"
"@nicolasAmon","2018-05-20 23:34:08","Así es la maquinaria que @German_Vargas está moviendo en #Cundinamarca, con ayuda de @JorgeEmilioRey para tratar de ganar en un departamento que se ha caracterizado por ser uribista.  https://t.co/7DuyqHNqaq"
"@psandresg","2018-05-20 23:34:08","@petrogustavo pide transparencia y juego limpio a la @Registraduria y @German_Vargas, el candidato del Presidente Santos, prácticamente lo manda a la porra. ¿Quién se parece más a Maduro? #NoAlFraudeElectoral"
"@SusanaGarzon3","2018-05-20 23:34:12","@The__Bosch @juanjo311 @German_Vargas ¡En 1a! ¡En 1a! ¡En 1a! Iván Duque es la esperanza de Colombia. Petro con el cuento del fraude, indica su derrota. Así @JuanManSantos y su horda de corruptos apelen a lo más ruin para evitar su triunfo, no lo lograrán. Sindéresis. Confianza en Dios. @IvanDuque."
"@Kazandratcl","2018-05-20 23:34:13","#NoAlFraudeElectoral  Cómo puede estar tan convencido @German_Vargas de que va a pasar a 2a vuelta y va a sacar a esa plaga? Tiene algún arreglo con @jcgalindovacha @Registraduria ? https://t.co/wutl3hg4x4"
"@dandom28","2018-05-20 23:34:13","La respuesta a cada encuesta es demostrar el amor de la ciudadanía, con humildad y amor derrotaremos la extrema izquierda @German_Vargas https://t.co/e78v0ScCk3"
"@millercpda","2018-05-20 23:34:17","¿Ustedes se imaginan la cantidad de proyectos sociales que sacaría Colombia adelante con la cantidad de plata que está moviendo @German_Vargas para llenar la Plaza de Bolívar hoy y robarse las elecciones del próximo domingo? #NoAlFraudeElectoral"
"@ktina_mejia","2018-05-20 23:34:18","No me cabe la menor duda: si el candidato de Santos (@German_Vargas) pasa a la segunda vuelta es porque algo raro pasó. Y con raro ya saben a qué me refiero."
"@SabogalAdrianaL","2018-05-20 23:34:19","#NoAlFraudeElectoral No podemos caer en el mismo fraude de 1970 cuando Misael Pastrana (Padre de @AndresPastrana_) le robo las elecciones al Gral. Gustavo Rojas Pinilla, durante el gobierno de Carlos Lleras Restrepo (Abuelo de @German_Vargas) #PetroEnBarranquilla #petropresidente https://t.co/GAv1DH4G51"
"@josecortiz","2018-05-20 23:34:24","Llenan la Plaza de Bolivar, el cariño, la alegría y los aplausos de los bogotanos que han venido a brindarle su apoyo a @German_Vargas. Le agradece hoy Germán a ellos y a todos los colombianos su voto de confianza. #YoVotoVargasLleras #MejorVargasYPinzón https://t.co/rqisalhXQQ"
"@MartinezVox","2018-05-20 23:34:27","El sr @German_Vargas no sólo encarna lo más ruin de la 'aristocracia' bogotana, sino lo más canalla de la clase política: sumar a su causa todas las mafias regionales, usar las instituciones para beneficio propio y asumir a la ciudadanía con asco y vergüenza. #NoAlFraudeElectoral"
"@ospina_wiliam","2018-05-20 23:34:27","Así es la maquinaria que @German_Vargas está moviendo en #Cundinamarca, con ayuda de @JorgeEmilioRey para tratar de ganar en un departamento que se ha caracterizado por ser uribista.  https://t.co/7DuyqHNqaq"
"@yosoyelfemin","2018-05-20 23:34:28","@RevistaSemana @IvanDuque @German_Vargas Si decirle "pollo" a un hombre maduro es un insulto, que él se diga "gallo de pelea" muestra su nivel de agresividad, no de conciliación, que la pregona tanto. Y si seguimos la comparación, le iría peor."
"@wilferhuertas87","2018-05-20 23:34:31","@trinchera82 @MoisesAlvaro_ @periodista19 Con repartición de dinero y buses desde ciudad Bolívar, claro que @German_Vargas  lleva la gente. fuy al cierre de campaña de @petrogustavo " a mí no me pagaron y no me invitaron"."
"@AngelDazaC","2018-05-20 23:34:33","Llenan la Plaza de Bolivar, el cariño, la alegría y los aplausos de los bogotanos que han venido a brindarle su apoyo a @German_Vargas. Le agradece hoy Germán a ellos y a todos los colombianos su voto de confianza. #YoVotoVargasLleras #MejorVargasYPinzón https://t.co/rqisalhXQQ"
"@German84159811","2018-05-20 23:34:37","@lasillapacifico @German_Vargas Sr. @PinzonBueno muy barro su jefe amenazando a los contratistas de Cauca y Barranquilla si no le consiguen votos!! Vaya experiencia la q Uds. pregonan!!"
"@LoreFerQui","2018-05-20 23:34:38","Pues parece que @petrogustavo no era el único que podía llenar la Plaza Bolivar. Foto de hoy en concentración de @German_Vargas. https://t.co/Jwjw2iKQk7"
"@AngelDazaC","2018-05-20 23:34:38","Lleno total en la Plaza de Bolívar de Bogotá. Miles y miles de personas acudieron hoy a decirle a @German_Vargas y @PinzonBueno que la capital del país está con ellos, y que en Bogotá también va a ganar! #YoVotoVargasLleras #MejorVargasYPinzón https://t.co/F8fzlWpjBd"
